sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
427,215719,29.862587,77.893175,0.657,-0.039,0.615,0.78
428,216219,29.862584,77.893225,0.696,0.047,0.639,0.52
429,216719,29.862584,77.893225,0.471,0.057,0.546,0.69
430,217219,29.862582,77.893276,0.581,0.035,0.691,0.95
431,217719,29.862582,77.893276,0.478,0.002,0.705,1.12
432,218219,29.862589,77.89333,0.662,0.093,0.792,1.12
433,218719,29.862589,77.89333,0.689,-0.002,0.768,1.3
434,219219,29.862608,77.893377,0.633,0.01,0.922,0.87
435,219719,29.862608,77.893377,0.554,0.06,0.766,1.12
436,220219,29.862622,77.893428,0.596,-0.042,0.717,1.73
437,220719,29.862622,77.893428,0.672,0.021,0.812,0.35
